Date,close,source
1995-05-31,385.0,datahub_monthly
1995-06-30,388.0,datahub_monthly
1995-07-31,386.0,datahub_monthly
1995-08-31,384.0,datahub_monthly
1995-09-30,383.0,datahub_monthly
1995-10-31,383.0,datahub_monthly
1995-11-30,385.0,datahub_monthly
1995-12-31,387.0,datahub_monthly
1996-01-31,399.0,datahub_monthly
1996-02-29,405.0,datahub_monthly
1996-03-31,396.0,datahub_monthly
1996-04-30,393.0,datahub_monthly
1996-05-31,392.0,datahub_monthly
1996-06-30,385.0,datahub_monthly
1996-07-31,383.0,datahub_monthly
1996-08-31,387.0,datahub_monthly
1996-09-30,383.0,datahub_monthly
1996-10-31,381.0,datahub_monthly
1996-11-30,378.0,datahub_monthly
1996-12-31,369.0,datahub_monthly
1997-01-31,355.0,datahub_monthly
1997-02-28,347.0,datahub_monthly
1997-03-31,352.0,datahub_monthly
1997-04-30,344.0,datahub_monthly
1997-05-31,344.0,datahub_monthly
1997-06-30,341.0,datahub_monthly
1997-07-31,324.0,datahub_monthly
1997-08-31,324.0,datahub_monthly
1997-09-30,323.0,datahub_monthly
1997-10-31,325.0,datahub_monthly
1997-11-30,306.0,datahub_monthly
1997-12-31,288.74,datahub_monthly
1998-01-31,289.0,datahub_monthly
1998-02-28,297.0,datahub_monthly
1998-03-31,296.0,datahub_monthly
1998-04-30,308.0,datahub_monthly
1998-05-31,299.0,datahub_monthly
1998-06-30,292.0,datahub_monthly
1998-07-31,293.0,datahub_monthly
1998-08-31,284.0,datahub_monthly
1998-09-30,289.0,datahub_monthly
1998-10-31,296.0,datahub_monthly
1998-11-30,294.0,datahub_monthly
1998-12-31,292.0,datahub_monthly
1999-01-31,287.0,datahub_monthly
1999-02-28,287.0,datahub_monthly
1999-03-31,286.0,datahub_monthly
1999-04-30,283.0,datahub_monthly
1999-05-31,276.0,datahub_monthly
1999-06-30,261.0,datahub_monthly
1999-07-31,256.0,datahub_monthly
1999-08-31,257.0,datahub_monthly
1999-09-30,265.0,datahub_monthly
1999-10-31,311.0,datahub_monthly
1999-11-30,293.0,datahub_monthly
1999-12-31,283.0,datahub_monthly
2000-01-31,284.0,datahub_monthly
2000-02-29,300.0,datahub_monthly
2000-03-31,286.0,datahub_monthly
2000-04-30,280.0,datahub_monthly
2000-05-31,275.0,datahub_monthly
2000-06-30,286.0,datahub_monthly
2000-07-31,282.0,datahub_monthly
2000-08-31,274.47,datahub_monthly
2000-09-30,274.0,datahub_monthly
2000-10-31,270.0,datahub_monthly
2000-11-30,266.0,datahub_monthly
2000-12-31,271.0,datahub_monthly
2001-01-31,265.0,datahub_monthly
2001-02-28,262.0,datahub_monthly
2001-03-31,263.0,datahub_monthly
2001-04-30,260.48,datahub_monthly
2001-05-31,272.0,datahub_monthly
2001-06-30,270.0,datahub_monthly
2001-07-31,268.0,datahub_monthly
2001-08-31,272.0,datahub_monthly
2001-09-30,283.0,datahub_monthly
2001-10-31,283.0,datahub_monthly
2001-11-30,276.0,datahub_monthly
2001-12-31,276.0,datahub_monthly
2002-01-31,282.0,datahub_monthly
2002-02-28,296.0,datahub_monthly
2002-03-31,294.0,datahub_monthly
2002-04-30,303.0,datahub_monthly
2002-05-31,314.0,datahub_monthly
2002-06-30,321.0,datahub_monthly
2002-07-31,313.0,datahub_monthly
2002-08-31,310.0,datahub_monthly
2002-09-30,319.0,datahub_monthly
2002-10-31,317.0,datahub_monthly
2002-11-30,319.0,datahub_monthly
2002-12-31,332.0,datahub_monthly
2003-01-31,356.86,datahub_monthly
2003-02-28,359.0,datahub_monthly
2003-03-31,341.0,datahub_monthly
2003-04-30,328.0,datahub_monthly
2003-05-31,356.0,datahub_monthly
2003-06-30,356.0,datahub_monthly
2003-07-31,351.0,datahub_monthly
2003-08-31,360.0,datahub_monthly
2003-09-30,378.95,datahub_monthly
2003-10-31,379.0,datahub_monthly
2003-11-30,390.0,datahub_monthly
2003-12-31,406.953,datahub_monthly
2004-01-31,414.0,datahub_monthly
2004-02-29,405.0,datahub_monthly
2004-03-31,407.0,datahub_monthly
2004-04-30,403.0,datahub_monthly
2004-05-31,383.78,datahub_monthly
2004-06-30,392.37,datahub_monthly
2004-07-31,398.0,datahub_monthly
2004-08-31,401.0,datahub_monthly
2004-09-30,405.0,datahub_monthly
2004-10-31,420.0,datahub_monthly
2004-11-30,439.0,datahub_monthly
2004-12-31,442.0,datahub_monthly
2005-01-31,424.0,datahub_monthly
2005-02-28,423.0,datahub_monthly
2005-03-31,434.0,datahub_monthly
2005-04-30,429.0,datahub_monthly
2005-05-31,422.0,datahub_monthly
2005-06-30,431.0,datahub_monthly
2005-07-31,424.48,datahub_monthly
2005-08-31,438.0,datahub_monthly
2005-09-30,456.05,datahub_monthly
2005-10-31,470.0,datahub_monthly
2005-11-30,477.0,datahub_monthly
2005-12-31,510.0,datahub_monthly
2006-01-31,550.0,datahub_monthly
2006-02-28,555.0,datahub_monthly
2006-03-31,557.0,datahub_monthly
2006-04-30,611.0,datahub_monthly
2006-05-31,675.0,datahub_monthly
2006-06-30,596.0,datahub_monthly
2006-07-31,634.0,datahub_monthly
2006-08-31,633.0,datahub_monthly
2006-09-30,598.0,datahub_monthly
2006-10-31,586.0,datahub_monthly
2006-11-30,627.827,datahub_monthly
2006-12-31,630.0,datahub_monthly
2007-01-31,631.0,datahub_monthly
2007-02-28,664.75,datahub_monthly
2007-03-31,655.0,datahub_monthly
2007-04-30,679.0,datahub_monthly
2007-05-31,667.31,datahub_monthly
2007-06-30,656.0,datahub_monthly
2007-07-31,665.0,datahub_monthly
2007-08-31,665.41,datahub_monthly
2007-09-30,712.65,datahub_monthly
2007-10-31,755.0,datahub_monthly
2007-11-30,806.0,datahub_monthly
2007-12-31,803.0,datahub_monthly
2008-01-31,890.0,datahub_monthly
2008-02-29,922.0,datahub_monthly
2008-03-31,968.0,datahub_monthly
2008-04-30,910.0,datahub_monthly
2008-05-31,889.0,datahub_monthly
2008-06-30,889.0,datahub_monthly
2008-07-31,940.0,datahub_monthly
2008-08-31,839.0,datahub_monthly
2008-09-30,830.0,datahub_monthly
2008-10-31,807.0,datahub_monthly
2008-11-30,761.0,datahub_monthly
2008-12-31,816.0,datahub_monthly
2009-01-31,859.0,datahub_monthly
2009-02-28,943.0,datahub_monthly
2009-03-31,924.0,datahub_monthly
2009-04-30,890.0,datahub_monthly
2009-05-31,929.0,datahub_monthly
2009-06-30,946.0,datahub_monthly
2009-07-31,934.0,datahub_monthly
2009-08-31,949.0,datahub_monthly
2009-09-30,996.59,datahub_monthly
2009-10-31,1043.0,datahub_monthly
